,area_type,availability,location,society,total_sqft,bath,balcony,price,bedrooms
22,Super built-up  Area,Ready To Move,1st Phase JP Nagar,,1180.0,2.0,2.0,88.5,2.0
23,Super built-up  Area,Ready To Move,1st Phase JP Nagar,,1200.0,2.0,2.0,86.0,2.0
24,Built-up  Area,Ready To Move,1st Phase JP Nagar,NCaveun,1394.0,2.0,2.0,85.0,2.0
25,Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,2077.0,3.0,3.0,175.0,3.0
27,Super built-up  Area,Ready To Move,1st Phase JP Nagar,NCaveun,1205.0,2.0,1.0,85.0,2.0
29,Super built-up  Area,Ready To Move,1st Phase JP Nagar,,900.0,2.0,1.0,75.0,2.0
30,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1450.0,2.0,1.0,50.75,3.0
31,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1150.0,2.0,1.0,40.25,2.0
32,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
33,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
34,Super built-up  Area,22-Jun,2nd Phase Judicial Layout,,900.0,2.0,2.0,41.0,2.0
35,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1681.0,3.0,3.0,69.0,3.0
36,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
37,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,,1150.0,2.0,1.0,40.25,2.0
38,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1500.0,4.0,2.0,220.0,4.0
41,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,245.0,4.0
42,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1350.0,4.0,1.0,200.0,4.0
43,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
44,Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,,600.0,3.0,1.0,95.0,4.0
45,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,600.0,4.0,2.0,100.0,3.0
46,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,1.0,225.0,4.0
47,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,600.0,4.0,2.0,125.0,4.0
48,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
49,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
50,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,240.0,5.0
51,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
52,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1500.0,3.0,2.0,230.0,4.0
53,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,600.0,3.0,1.0,84.0,4.0
54,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,600.0,3.0,2.0,82.0,4.0
56,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,240.0,5.0
57,Super built-up  Area,Ready To Move,5th Block Hbr Layout,,1206.0,2.0,2.0,56.0,2.0
58,Super built-up  Area,Ready To Move,5th Block Hbr Layout,,1270.0,2.0,2.0,70.0,3.0
59,Plot  Area,Ready To Move,5th Block Hbr Layout,,1200.0,6.0,1.0,220.0,5.0
60,Plot  Area,Ready To Move,5th Block Hbr Layout,,1200.0,4.0,2.0,205.0,4.0
61,Super built-up  Area,Ready To Move,5th Block Hbr Layout,,1312.0,2.0,3.0,69.0,2.0
62,Super built-up  Area,Ready To Move,5th Block Hbr Layout,,1200.0,5.0,2.0,205.0,5.0
63,Built-up  Area,Ready To Move,5th Block Hbr Layout,,5100.0,5.0,3.0,300.0,6.0
64,Plot  Area,Ready To Move,5th Block Hbr Layout,,1200.0,5.0,2.0,205.0,5.0
65,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2.0
66,Built-up  Area,Ready To Move,5th Phase JP Nagar,Prenty ,1150.0,3.0,3.0,52.5,2.0
67,Super built-up  Area,18-Aug,5th Phase JP Nagar,,1070.0,2.0,2.0,39.0,2.0
68,Built-up  Area,Ready To Move,5th Phase JP Nagar,,1256.0,2.0,1.0,62.8,2.0
69,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1207.0,2.0,2.0,63.0,2.0
70,Built-up  Area,Ready To Move,5th Phase JP Nagar,Shlashi,1725.0,2.0,2.0,100.0,3.0
71,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1440.0,2.0,2.0,60.0,2.0
72,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1400.0,2.0,1.0,88.0,3.0
73,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Sorta S,1450.0,2.0,1.0,58.0,2.0
74,Built-up  Area,Ready To Move,5th Phase JP Nagar,,1700.0,2.0,3.0,100.0,3.0
76,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,2500.0,5.0,2.0,110.0,5.0
77,Built-up  Area,Ready To Move,5th Phase JP Nagar,Shenshi,600.0,1.0,1.0,30.0,1.0
78,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1390.0,2.0,2.0,65.0,2.0
79,Built-up  Area,Ready To Move,5th Phase JP Nagar,,1256.0,2.0,1.0,62.8,2.0
80,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1220.0,2.0,3.0,88.0,2.0
81,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Maodser,1000.0,2.0,0.0,48.0,2.0
82,Super built-up  Area,Ready To Move,5th Phase JP Nagar,MBaleRo,1350.0,2.0,1.0,75.0,3.0
83,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,552.0,1.0,1.0,23.5,1.0
84,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Saisena,1200.0,2.0,2.0,51.0,2.0
88,Built-up  Area,Ready To Move,5th Phase JP Nagar,Matonr ,1030.0,2.0,2.0,57.0,2.0
89,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,1200.0,2.0,1.0,68.0,2.0
90,Built-up  Area,Ready To Move,5th Phase JP Nagar,Niaveha,1190.0,2.0,2.0,61.8,2.0
91,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,4000.0,5.0,2.0,170.0,5.0
92,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Maodser,1080.0,2.0,1.0,53.0,2.0
93,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1041.0,2.0,2.0,54.0,2.0
94,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,812.0,2.0,1.0,42.0,2.0
95,Built-up  Area,Ready To Move,5th Phase JP Nagar,Rewelav,1010.0,2.0,2.0,57.0,2.0
97,Super built-up  Area,Ready To Move,5th Phase JP Nagar,,2500.0,8.0,3.0,95.0,7.0
98,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2.0
99,Plot  Area,Ready To Move,5th Phase JP Nagar,,2400.0,4.0,1.0,228.0,4.0
100,Super built-up  Area,Ready To Move,6th Phase JP Nagar,HMinebo,1192.0,2.0,2.0,74.0,2.0
101,Super built-up  Area,Ready To Move,6th Phase JP Nagar,,1180.0,2.0,3.0,80.0,2.0
104,Super built-up  Area,Ready To Move,6th Phase JP Nagar,Vador S,1280.0,2.0,2.0,56.0,2.0
105,Built-up  Area,Ready To Move,6th Phase JP Nagar,SNpalaj,1140.0,2.0,2.0,65.0,2.0
106,Plot  Area,Ready To Move,6th Phase JP Nagar,,1650.0,6.0,2.0,135.0,8.0
107,Super built-up  Area,Ready To Move,6th Phase JP Nagar,SGncy R,2040.0,3.0,2.0,200.0,3.0
108,Super built-up  Area,Ready To Move,6th Phase JP Nagar,,1213.0,2.0,1.0,63.0,2.0
110,Super built-up  Area,Ready To Move,6th Phase JP Nagar,NCierar,1170.0,2.0,2.0,120.0,2.0
111,Built-up  Area,Ready To Move,6th Phase JP Nagar,,1216.0,2.0,2.0,60.0,2.0
112,Super built-up  Area,Ready To Move,6th Phase JP Nagar,JClyner,1460.0,2.0,2.0,80.0,2.0
113,Super built-up  Area,Ready To Move,6th Phase JP Nagar,Solip T,2003.0,3.0,3.0,200.0,3.0
114,Super built-up  Area,Ready To Move,6th Phase JP Nagar,HMinebo,1810.0,3.0,3.0,131.0,3.0
115,Super built-up  Area,Ready To Move,6th Phase JP Nagar,NCierar,1515.0,2.0,2.0,135.0,3.0
116,Super built-up  Area,Ready To Move,6th Phase JP Nagar,HMinebo,1192.0,2.0,3.0,75.0,2.0
117,Super built-up  Area,Ready To Move,6th Phase JP Nagar,HMinebo,1280.0,2.0,1.0,88.0,2.0
118,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2.0
119,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2.0
120,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3.0
121,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3.0
122,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2.0
123,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2.0
124,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3.0
125,Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,2225.0,3.0,1.0,160.0,3.0
126,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,71.0,2.0
127,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1100.0,2.0,0.0,46.0,2.0
128,Built-up  Area,Ready To Move,7th Phase JP Nagar,,918.0,2.0,1.0,50.49,2.0
129,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brsiaen,1450.0,2.0,1.0,100.0,3.0
130,Super built-up  Area,Ready To Move,7th Phase JP Nagar,SrncyRe,1070.0,2.0,1.0,42.79,2.0
131,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Vasta C,1190.0,2.0,1.0,49.98,2.0
132,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,2.0,96.0,3.0
133,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3.0
134,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1050.0,2.0,1.0,42.0,2.0
135,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,2.0,69.0,2.0
136,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1035.0,2.0,1.0,41.39,2.0
137,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1370.0,2.0,1.0,56.17,2.0
138,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1180.0,2.0,2.0,72.0,2.0
139,Built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,5080.0,7.0,2.0,450.0,6.0
144,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1400.0,3.0,1.0,115.0,3.0
145,Super built-up  Area,Ready To Move,7th Phase JP Nagar,SrncyRe,1075.0,2.0,1.0,42.99,2.0
146,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1100.0,2.0,2.0,44.0,2.0
147,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,83.0,2.0
149,Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,2503.0,4.0,0.0,188.0,4.0
150,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,2200.0,3.0,2.0,190.0,3.0
152,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1050.0,2.0,1.0,42.0,2.0
154,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3.0
155,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,140.0,3.0
159,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,120.0,3.0
160,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,150.0,3.0
161,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3.0
162,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,2.0,82.5,2.0
165,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1215.0,2.0,2.0,90.0,2.0
166,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2.0
167,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Axdam V,1300.0,3.0,2.0,89.13,3.0
168,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,73.0,2.0
169,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1450.0,3.0,2.0,100.0,3.0
171,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Srayai ,1050.0,2.0,1.0,50.0,2.0
172,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1275.0,2.0,1.0,87.0,2.0
174,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1650.0,3.0,2.0,110.0,3.0
175,Built-up  Area,Ready To Move,7th Phase JP Nagar,Prhna S,850.0,2.0,2.0,42.0,2.0
176,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3.0
177,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3.0
178,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1236.0,2.0,2.0,61.33,2.0
179,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1000.0,2.0,2.0,53.0,2.0
180,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3.0
181,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1675.0,2.0,2.0,135.0,3.0
182,Super built-up  Area,19-Jan,7th Phase JP Nagar,,1187.0,2.0,1.0,59.0,2.0
183,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,155.0,3.0
184,Built-up  Area,Ready To Move,7th Phase JP Nagar,,1000.0,2.0,1.0,61.0,2.0
185,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1460.0,2.0,2.0,100.0,3.0
186,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1650.0,3.0,3.0,110.0,3.0
187,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1200.0,2.0,2.0,62.5,2.0
188,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Axdam V,1000.0,2.0,1.0,70.65,2.0
189,Super built-up  Area,18-Aug,7th Phase JP Nagar,,1070.0,2.0,2.0,42.0,2.0
190,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,75.0,2.0
192,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,125.0,3.0
193,Super built-up  Area,Ready To Move,7th Phase JP Nagar,SrncyRe,1040.0,2.0,1.0,41.59,2.0
194,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1100.0,2.0,1.0,44.0,2.0
195,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1460.0,2.0,1.0,97.0,3.0
196,Built-up  Area,Ready To Move,7th Phase JP Nagar,,1120.0,2.0,2.0,65.0,2.0
197,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Panorse,1100.0,3.0,1.0,60.0,2.0
198,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1790.0,3.0,3.0,120.0,3.0
199,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3.0
200,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.0,2.0
201,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,1174.0,2.0,1.0,47.0,2.0
202,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2.0
203,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1040.0,2.0,1.0,75.0,2.0
204,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3.0
205,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1800.0,3.0,2.0,130.0,3.0
206,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,0.0,68.0,2.0
208,Built-up  Area,Ready To Move,7th Phase JP Nagar,AiIIIpl,1000.0,2.0,2.0,60.0,2.0
209,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3.0
210,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,1.0,86.0,2.0
212,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.47,2.0
213,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,80.0,2.0
215,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,122.0,3.0
216,Super built-up  Area,Ready To Move,7th Phase JP Nagar,SrncyRe,1070.0,2.0,1.0,42.79,2.0
217,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,85.0,2.0
218,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,130.0,3.0
220,Built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,2980.0,4.0,2.0,260.0,3.0
221,Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,1.0,77.44,2.0
222,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,112.0,3.0
224,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,2095.0,3.0,2.0,150.0,3.0
226,Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,1976.0,3.0,1.0,145.0,3.0
227,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1600.0,2.0,2.0,110.0,3.0
228,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1765.0,3.0,2.0,118.0,3.0
229,Built-up  Area,Ready To Move,7th Phase JP Nagar,,1275.0,2.0,2.0,88.0,3.0
230,Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1450.0,2.0,1.0,102.0,3.0
231,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3.0
233,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,750.0,1.0,2.0,47.0,1.0
234,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1050.0,2.0,1.0,42.0,2.0
235,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,990.0,2.0,2.0,50.0,2.0
236,Plot  Area,Ready To Move,7th Phase JP Nagar,,1000.0,1.0,1.0,60.0,1.0
238,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1100.0,2.0,1.0,44.0,2.0
239,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1430.0,2.0,1.0,102.0,3.0
240,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Prhna S,1128.0,2.0,1.0,60.0,2.0
241,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,2100.0,3.0,2.0,190.0,3.0
242,Built-up  Area,Ready To Move,7th Phase JP Nagar,,1140.0,2.0,1.0,57.0,2.0
243,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1420.0,3.0,2.0,90.0,3.0
244,Super built-up  Area,Ready To Move,7th Phase JP Nagar,,1530.0,2.0,1.0,108.0,2.0
245,Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1554.9419,2.0,0.0,54.005,2.0
246,Super built-up  Area,18-May,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1.0
248,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1062.0,2.0,1.0,42.47,2.0
250,Super built-up  Area,20-Mar,8th Phase JP Nagar,Vaarech,1455.0,3.0,2.0,73.31,3.0
251,Super built-up  Area,Ready To Move,8th Phase JP Nagar,i1rtsCo,871.0,2.0,2.0,55.0,2.0
252,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1098.0,2.0,1.0,43.91,2.0
253,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,1800.0,3.0,1.0,80.0,3.0
254,Built-up  Area,Ready To Move,8th Phase JP Nagar,,2700.0,4.0,2.0,130.0,4.0
255,Super built-up  Area,18-Oct,8th Phase JP Nagar,,1080.0,2.0,2.0,38.0,2.0
256,Super built-up  Area,18-Jan,8th Phase JP Nagar,,1059.0,2.0,2.0,34.5,2.0
257,Super built-up  Area,18-Jun,8th Phase JP Nagar,,1080.0,2.0,2.0,35.0,2.0
259,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1062.0,2.0,1.0,42.47,2.0
260,Super built-up  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,31.0,1.0
261,Super built-up  Area,18-Jun,8th Phase JP Nagar,,1100.0,2.0,2.0,35.0,2.0
262,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,2100.0,4.0,3.0,92.0,4.0
263,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,1035.0,2.0,1.0,39.33,2.0
264,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,909.0,2.0,1.0,40.9,2.0
265,Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1554.9419,3.0,0.0,72.02,3.0
266,Built-up  Area,Ready To Move,8th Phase JP Nagar,,1900.0,4.0,1.0,90.0,3.0
267,Super built-up  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,30.0,1.0
268,Super built-up  Area,18-Jun,8th Phase JP Nagar,,1125.0,2.0,2.0,36.94,2.0
269,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,1200.0,3.0,2.0,110.0,4.0
270,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,1100.0,2.0,3.0,35.0,2.0
271,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,1089.0,2.0,1.0,43.55,2.0
273,Super built-up  Area,Ready To Move,8th Phase JP Nagar,GRhtsei,1504.0,2.0,2.0,83.0,3.0
274,Built-up  Area,Ready To Move,8th Phase JP Nagar,,2600.0,4.0,2.0,115.0,4.0
276,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1089.0,2.0,1.0,43.55,2.0
278,Super built-up  Area,Ready To Move,8th Phase JP Nagar,HMityld,1513.0,2.0,3.0,62.0,2.0
279,Built-up  Area,Ready To Move,8th Phase JP Nagar,,1298.0,2.0,1.0,59.0,2.0
280,Built-up  Area,Ready To Move,8th Phase JP Nagar,SVthaho,1006.0,2.0,0.0,44.0,2.0
281,Carpet  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,33.0,1.0
282,Super built-up  Area,Ready To Move,8th Phase JP Nagar,URncysi,1160.0,2.0,1.0,95.0,2.0
283,Super built-up  Area,18-Mar,8th Phase JP Nagar,,1245.0,2.0,1.0,59.0,2.0
284,Super built-up  Area,Ready To Move,8th Phase JP Nagar,HMityld,1510.0,2.0,3.0,80.0,2.0
285,Super built-up  Area,Ready To Move,8th Phase JP Nagar,,3300.0,3.0,2.0,165.0,3.0
286,Built-up  Area,Ready To Move,8th Phase JP Nagar,,1730.0,5.0,2.0,75.0,5.0
289,Super built-up  Area,18-Jun,8th Phase JP Nagar,Maian M,1046.0,2.0,1.0,48.0,2.0
291,Super built-up  Area,19-Mar,8th Phase JP Nagar,Vaarech,1408.0,3.0,2.0,80.0,3.0
293,Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,50.0,2.0
295,Super built-up  Area,21-Sep,9th Phase JP Nagar,Vasisvi,1100.0,2.0,1.0,65.0,2.0
296,Super built-up  Area,18-Jun,9th Phase JP Nagar,,1080.0,2.0,2.0,37.0,2.0
297,Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1035.0,2.0,1.0,45.0,2.0
298,Built-up  Area,Ready To Move,9th Phase JP Nagar,ImiteEl,5000.0,4.0,3.0,290.0,4.0
299,Built-up  Area,Ready To Move,9th Phase JP Nagar,,1164.0,2.0,1.0,56.0,2.0
300,Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,42.0,2.0
301,Built-up  Area,Ready To Move,9th Phase JP Nagar,ImiteEl,3500.0,4.0,2.0,300.0,4.0
302,Super built-up  Area,19-Dec,9th Phase JP Nagar,,1127.0,2.0,1.0,50.0,2.0
303,Super built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,43.0,2.0
304,Built-up  Area,Ready To Move,9th Phase JP Nagar,NaensGa,835.0,2.0,0.0,37.0,2.0
